algoritmo,n,caso,resultado
dynamic_programming,ctrl_q_10,0,9751570239
greedy1,ctrl_q_15,0,3079677022
greedy2,ctrl_q_15,0,4178831172
dynamic_programming,ctrl_q_15,0,7432350554
greedy1,ctrl_q_20,0,3798080788
greedy2,ctrl_q_20,0,7329821283
dynamic_programming,ctrl_q_20,0,9944339043
greedy1,ctrl_q_25,0,4831479065
greedy2,ctrl_q_25,0,8356108015
dynamic_programming,ctrl_q_25,0,10504425745
greedy1,ctrl_q_30,0,4024812307
greedy2,ctrl_q_30,0,8823991995
dynamic_programming,ctrl_q_30,0,9895366766
