algoritmo,n,caso,tiempo_us,memoria_kb
greedy2,ctrl_E_200,0,3.502,16084
dynamic_programming,ctrl_E_200,0,388012,16084
greedy1,ctrl_E_300,0,16.053,16084
greedy2,ctrl_E_300,0,6.571,16084
dynamic_programming,ctrl_E_300,0,670009,16084
greedy1,ctrl_E_400,0,15.078,16084
greedy2,ctrl_E_400,0,6.75,16084
dynamic_programming,ctrl_E_400,0,942785,16084
greedy1,ctrl_E_500,0,15.897,16084
greedy2,ctrl_E_500,0,6.554,16084
dynamic_programming,ctrl_E_500,0,1.2479e+06,16084
greedy1,ctrl_q_5,0,14.123,16084
greedy2,ctrl_q_5,0,5.748,16084
dynamic_programming,ctrl_q_5,0,354866,16084
greedy1,ctrl_q_10,0,14.479,16084
greedy2,ctrl_q_10,0,5.952,16084
dynamic_programming,ctrl_q_10,0,528318,16084
greedy1,ctrl_q_15,0,16.548,16084
greedy2,ctrl_q_15,0,3.582,16084
dynamic_programming,ctrl_q_15,0,693187,16084
greedy1,ctrl_q_20,0,15.257,16084
greedy2,ctrl_q_20,0,5.555,16084
dynamic_programming,ctrl_q_20,0,965160,16084
greedy1,ctrl_q_25,0,14.088,16084
greedy2,ctrl_q_25,0,6.024,16084
dynamic_programming,ctrl_q_25,0,1.0828e+06,16084
greedy1,ctrl_q_30,0,14.869,16084
greedy2,ctrl_q_30,0,22.829,16084
dynamic_programming,ctrl_q_30,0,1.28514e+06,16084
